number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	length_mm	PLATE	RawIntDen_norm_bckg	RawIntDen_normBackg_normLen	DAY
8	20240903_pnrt21_luc_10mM_N8_luc.tif:0255-0413	1128	1431.954	1615244	1135	1615244	139.786	seedling28	pNRT2.1:LUC	10mM	34.9465	plate3	443537.7835	12691.90859	7d
9	20240903_pnrt21_luc_10mM_N8_luc.tif:0258-0432	1219	1390.485	1695001	1121	1695001	151.499	seedling29	pNRT2.1:LUC	10mM	37.87475	plate3	428768.8387	11320.70413	7d
10	20240903_pnrt21_luc_10mM_N8_luc.tif:0249-0504	1126	1196.892	1347700	1075	1347700	140.217	seedling30	pNRT2.1:LUC	10mM	35.05425	plate3	178071.2768	5079.876956	7d
11	20240903_pnrt21_luc_10mM_N8_luc.tif:0246-0546	1021	1215.64	1241168	1085	1241168	126.931	seedling31	pNRT2.1:LUC	10mM	31.73275	plate4	180607.6746	5691.522941	7d
12	20240903_pnrt21_luc_10mM_N8_luc.tif:0229-0596	687	1281.261	880226	1107	880226	85.455	seedling32	pNRT2.1:LUC	10mM	21.36375	plate4	166607.0543	7798.586592	7d
13	20240903_pnrt21_luc_10mM_N8_luc.tif:0242-0607	1039	1278.417	1328275	1103	1328275	129.735	seedling33	pNRT2.1:LUC	10mM	32.43375	plate4	249017.235	7677.719504	7d
14	20240903_pnrt21_luc_10mM_N8_luc.tif:0374-0243	921	1129.279	1040066	1070	1040066	114.561	seedling34	pNRT2.1:LUC	10mM	28.64025	plate4	83380.33918	2911.299279	7d
15	20240903_pnrt21_luc_10mM_N8_luc.tif:0377-0268	947	1178.207	1115762	1077	1115762	117.794	seedling35	pNRT2.1:LUC	10mM	29.4485	plate4	132068.9264	4484.742054	7d
16	20240903_pnrt21_luc_10mM_N8_luc.tif:0379-0407	1055	1379.636	1455516	1129	1455516	131.19	seedling36	pNRT2.1:LUC	10mM	32.7975	plate4	359638.2886	10965.41775	7d
17	20240903_pnrt21_luc_10mM_N8_luc.tif:0366-0439	924	1198.629	1107533	1085	1107533	115.182	seedling37	pNRT2.1:LUC	10mM	28.7955	plate4	147731.0992	5130.353675	7d
18	20240903_pnrt21_luc_10mM_N8_luc.tif:0365-0480	925	1205.062	1114682	1082	1114682	114.998	seedling38	pNRT2.1:LUC	10mM	28.7495	plate4	153841.3526	5351.096631	7d
