number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
5	line51_1mM_plate1_luc.tif:0175-0426	1491	1358.526	2025562	1136	2025562	185.478	seedling5	line51	1mM	plate1
6	line51_1mM_plate1_luc.tif:0196-0474	1835	1383.326	2538404	1161	2538404	228.796	seedling6	line51	1mM	plate1
7	line51_1mM_plate1_luc.tif:0181-0534	1579	1286.526	2031424	1137	2031424	196.415	seedling7	line51	1mM	plate1
8	line51_1mM_plate1_luc.tif:0201-0580	1890	1492.221	2820298	1233	2820298	234.884	seedling8	line51	1mM	plate1
9	line51_1mM_plate1_luc.tif:0193-0191	1507	1042.896	1571644	1043	1571644	187.223	background	line51	1mM	plate1
10	line51_1mM_plate1_luc.tif:0177-0451	1535	1050.61	1612686	1050	1612686	190.821	background	line51	1mM	plate1
11	line51_1mM_plate1_luc.tif:0194-0616	1574	1044.19	1643555	1044	1643555	195.692	background	line51	1mM	plate1
1	line51_1mM_plate2_luc.tif:0195-0215	1465	1312.81	1923266	1108	1923266	182.24	seedling9	line51	1mM	plate2
2	line51_1mM_plate2_luc.tif:0222-0287	1783	1416.239	2525155	1155	2525155	221.509	seedling10	line51	1mM	plate2
3	line51_1mM_plate2_luc.tif:0202-0341	1662	1352.192	2247343	1114	2247343	207.067	seedling11	line51	1mM	plate2
4	line51_1mM_plate2_luc.tif:0198-0394	1595	1279.997	2041595	1105	2041595	198.319	seedling12	line51	1mM	plate2
5	line51_1mM_plate2_luc.tif:0192-0448	1470	1182.72	1738598	1086	1738598	183.016	seedling13	line51	1mM	plate2
6	line51_1mM_plate2_luc.tif:0201-0486	1562	1272.321	1987365	1117	1987365	194.428	seedling14	line51	1mM	plate2
7	line51_1mM_plate2_luc.tif:0221-0539	1904	1438.457	2738822	1189	2738822	237.385	seedling15	line51	1mM	plate2
8	line51_1mM_plate2_luc.tif:0205-0604	1665	1419.908	2364147	1200	2364147	207.169	seedling16	line51	1mM	plate2
9	line51_1mM_plate2_luc.tif:0199-0365	1501	1046.121	1570227	1046	1570227	185.413	background	line51	1mM	plate2
10	line51_1mM_plate2_luc.tif:0253-0562	1541	1046.369	1612454	1046	1612454	191.56	background	line51	1mM	plate2
11	line51_1mM_plate2_luc.tif:0338-0383	1684	1041.334	1753606	1041	1753606	209.508	background	line51	1mM	plate2
1	line51_1mM_plate3_luc.tif:0198-0199	1622	1467.277	2379924	1197	2379924	202.653	seedling17	line51	1mM	plate3
2	line51_1mM_plate3_luc.tif:0203-0245	1791	1359.851	2435494	1159	2435494	222.488	seedling18	line51	1mM	plate3
3	line51_1mM_plate3_luc.tif:0193-0296	1562	1303.28	2035724	1126	2035724	194.528	seedling19	line51	1mM	plate3
4	line51_1mM_plate3_luc.tif:0195-0367	1552	1289.63	2001506	1113	2001506	193.601	seedling20	line51	1mM	plate3
5	line51_1mM_plate3_luc.tif:0206-0406	1802	1420.757	2560205	1155	2560205	224.322	seedling21	line51	1mM	plate3
6	line51_1mM_plate3_luc.tif:0182-0469	1543	1307.489	2017456	1129	2017456	191.405	seedling22	line51	1mM	plate3
7	line51_1mM_plate3_luc.tif:0193-0509	1656	1416.408	2345572	1176	2345572	205.901	seedling23	line51	1mM	plate3
